PTA_Cmin_75,PTA_Cmin_80,PTA_fAUC_200,PTA_fAUC_400,DAY,CKDEPI,Regimen
90.555,0,92.305,43.23,1,195,3
86.7,0,92.48,39.245,2,195,3
81.93,0,99.995,99.74,6,195,3
82.15,0,89.59,38.61,7,195,3
81.945,0.015,100,99.985,13,195,3
82.01,0.01,89.68,40.865,14,195,3
90.635,0,92.505,41.94,1,205,3
85.58,0,92.085,37.215,2,205,3
80.52,0,100,99.79,6,205,3
80.1,0,88.51,36.77,7,205,3
80.42,0.025,100,99.985,13,205,3
80.1,0.02,88.56,38.845,14,205,3
90.135,0,92.135,41.745,1,215,3
84.975,0,92.05,35.955,2,215,3
79.615,0,100,99.68,6,215,3
79.27,0,88.03,35.025,7,215,3
79.375,0.005,100,99.98,13,215,3
79.07,0.01,88.145,36.92,14,215,3
97.55,0.075,94.935,61.04,1,5,4
99.205,0.31,98.435,78.435,2,5,4
99.96,6.5,100,100,6,5,4
99.98,8.585,99.98,98.135,7,5,4
100,28.095,100,100,13,5,4
100,30.815,100,99.88,14,5,4
97.37,0.02,94.83,58.565,1,15,4
98.995,0.075,98.235,75.12,2,15,4
99.935,1.74,100,100,6,15,4
99.95,2.725,99.945,96.7,7,15,4
100,9.29,100,100,13,15,4
99.99,10.305,100,99.22,14,15,4
97.115,0.005,94.87,59.065,1,25,4
98.805,0.04,98.055,73.9,2,25,4
99.89,0.84,100,100,6,25,4
99.895,1.235,99.91,94.27,7,25,4
99.965,4.365,100,100,13,25,4
99.96,4.875,100,97.695,14,25,4
97.245,0.02,94.735,57.285,1,35,4
98.745,0.025,98.075,70.905,2,35,4
99.785,0.455,100,100,6,35,4
99.81,0.62,99.89,90.98,7,35,4
99.845,2.265,100,100,13,35,4
99.855,2.475,99.955,95.035,14,35,4
96.91,0.005,94.48,57.01,1,45,4
98.58,0.01,97.82,69.045,2,45,4
99.5,0.275,100,100,6,45,4
99.57,0.33,99.785,87.455,7,45,4
99.645,1.21,100,100,13,45,4
99.6,1.445,99.86,91.935,14,45,4
96.335,0.005,93.81,54.6,1,55,4
97.965,0.005,97.35,65.725,2,55,4
99.045,0.14,100,100,6,55,4
99.09,0.235,99.505,82.855,7,55,4
99.12,0.755,100,100,13,55,4
99.12,0.8,99.655,87.565,14,55,4
96.2,0.005,93.835,54.29,1,65,4
97.615,0.01,97.195,63.82,2,65,4
98.39,0.085,100,100,6,65,4
98.455,0.165,99.15,78.725,7,65,4
98.55,0.525,100,100,13,65,4
98.525,0.57,99.29,83.565,14,65,4
96.62,0,94.69,55.42,1,75,4
97.68,0.005,97.415,63.365,2,75,4
97.865,0.05,100,99.985,6,75,4
97.845,0.08,99.05,75.385,7,75,4
97.9,0.33,100,100,13,75,4
97.925,0.405,99.145,79.305,14,75,4
95.86,0.005,93.62,53.05,1,85,4
96.96,0.01,96.675,60.075,2,85,4
97.34,0.085,100,99.99,6,85,4
97.26,0.1,98.435,70.785,7,85,4
97.295,0.26,100,100,13,85,4
97.235,0.32,98.575,75.075,14,85,4
95.915,0,93.715,52.505,1,95,4
96.555,0,96.86,58.5,2,95,4
96.405,0.04,100,99.985,6,95,4
96.38,0.035,97.975,67.64,7,95,4
96.27,0.15,100,100,13,95,4
96.15,0.165,98.04,71.765,14,95,4
95.935,0.005,94.09,52.84,1,105,4
96.455,0.015,96.695,57.105,2,105,4
95.56,0.04,100,99.985,6,105,4
95.475,0.065,97.52,63.525,7,105,4
95.595,0.16,100,100,13,105,4
95.52,0.165,97.625,67.395,14,105,4
95.395,0,93.7,50.81,1,115,4
95.655,0,96.455,54.165,2,115,4
94.44,0,100,99.96,6,115,4
94.415,0.02,96.94,60.39,7,115,4
94.31,0.09,100,100,13,115,4
94.275,0.085,97.045,64.14,14,115,4
95.13,0,93.35,49.615,1,125,4
94.99,0.01,95.875,52.345,2,125,4
93.465,0.025,100,99.97,6,125,4
93.265,0.025,95.89,56.785,7,125,4
93.12,0.065,100,99.995,13,125,4
93.06,0.05,95.995,60.345,14,125,4
94.775,0,93.115,49.645,1,135,4
94.105,0,95.535,50.58,2,135,4
92.14,0.015,100,99.955,6,135,4
92.075,0.015,95.35,53.25,7,135,4
91.89,0.055,100,99.995,13,135,4
91.875,0.075,95.455,56.59,14,135,4
94.595,0,93.355,49.63,1,145,4
93.285,0,95.41,49.515,2,145,4
90.54,0.015,100,99.905,6,145,4
90.395,0.01,94.22,50.245,7,145,4
90.16,0.02,100,99.99,13,145,4
90.39,0.03,94.3,53.255,14,145,4
94.445,0.01,93.065,48.82,1,155,4
92.84,0.005,94.83,47.51,2,155,4
89.365,0.005,100,99.93,6,155,4
89.39,0,93.415,47.395,7,155,4
89.245,0.025,100,99.985,13,155,4
89.14,0.015,93.6,50.355,14,155,4
93.995,0,92.96,47.245,1,165,4
91.715,0,94.42,45.345,2,165,4
87.785,0.005,100,99.905,6,165,4
87.61,0.015,92.195,44.345,7,165,4
87.445,0.04,100,100,13,165,4
87.55,0.055,92.275,47.175,14,165,4
93.8,0,93.16,47.62,1,175,4
91.625,0,94.485,44.265,2,175,4
86.765,0,100,99.86,6,175,4
86.545,0.015,91.64,41.89,7,175,4
86.585,0.015,100,99.99,13,175,4
86.49,0.03,91.6,44.685,14,175,4
93.595,0,92.765,46.705,1,185,4
90.745,0,94.035,43.42,2,185,4
85.42,0,99.995,99.835,6,185,4
85.28,0.005,90.625,39.92,7,185,4
85.16,0.015,100,99.985,13,185,4
85.24,0.025,90.725,42.28,14,185,4
93.095,0,92.58,46.645,1,195,4
89.93,0.005,93.615,42.16,2,195,4
84.41,0,100,99.79,6,195,4
84.055,0,89.77,38.455,7,195,4
83.92,0.01,100,100,13,195,4
83.99,0.02,89.735,40.765,14,195,4
93.075,0,92.935,46.43,1,205,4
