Estimates,RSE,Parameters,Model
1.57,9.9,CLcrrt,50
0.605,4.9,CLr,41
0.596,5,CLr,42
0.616,4.8,CLr,43
0.626,5,CLr,44
0.597,6,CLr,45
0.614,5.4,CLr,46
0.608,5.1,CLr,47
0.628,5,CLr,48
0.607,5.3,CLr,49
0.611,5,CLr,50
39.8,8.6,V1,41
39.9,7.3,V1,42
39.9,8,V1,43
39.2,9.2,V1,44
39.5,7.7,V1,45
39.2,8.3,V1,46
39.8,7.4,V1,47
38.9,7.7,V1,48
39.6,7.9,V1,49
39.7,8.4,V1,50
12,41.2,Q,41
11.8,28.9,Q,42
11.9,35.5,Q,43
12.2,42.3,Q,44
12.1,31.6,Q,45
12.1,35.9,Q,46
11.9,29.1,Q,47
12.5,31.4,Q,48
12,34.9,Q,49
11.9,37.8,Q,50
8.53,36.6,V2,41
8.47,31.2,V2,42
8.44,34.4,V2,43
8.33,38.5,V2,44
8.5,32.6,V2,45
8.48,34.7,V2,46
8.55,30.4,V2,47
8.4,32.9,V2,48
8.54,33.7,V2,49
8.51,35.7,V2,50
0.681,20.4,CKDEPI,41
0.73,19.2,CKDEPI,42
0.7,23,CKDEPI,43
0.524,21.4,CKDEPI,44
0.54,37.6,CKDEPI,45
0.465,40.6,CKDEPI,46
0.651,22.1,CKDEPI,47
0.311,43.1,CKDEPI,48
0.563,24.3,CKDEPI,49
0.578,23.9,CKDEPI,50
0.873,25.1,BW,41
0.875,22.6,BW,42
0.911,22.8,BW,43
0.917,22.6,BW,44
0.91,22.1,BW,45
0.92,22.7,BW,46
0.904,23.8,BW,47
0.914,22.3,BW,48
0.914,22.4,BW,49
0.896,23.9,BW,50
0.288,42.4,IIV_CLcrrt,41
0.279,43.4,IIV_CLcrrt,42
0.286,42.3,IIV_CLcrrt,43
0.279,42.3,IIV_CLcrrt,44
0.284,41.9,IIV_CLcrrt,45
0.284,41.9,IIV_CLcrrt,46
0.273,44,IIV_CLcrrt,47
0.283,41.3,IIV_CLcrrt,48
0.282,42.2,IIV_CLcrrt,49
0.278,43.2,IIV_CLcrrt,50
0.202,21.4,IIV_CLr,41
0.201,22.2,IIV_CLr,42
0.203,21.8,IIV_CLr,43
0.225,19.8,IIV_CLr,44
0.206,20.4,IIV_CLr,45
0.22,19.5,IIV_CLr,46
0.219,20.7,IIV_CLr,47
0.234,18.5,IIV_CLr,48
0.218,20,IIV_CLr,49
0.22,20.1,IIV_CLr,50
0.317,20.9,IIV_V1,41
0.319,19.9,IIV_V1,42
0.316,20.4,IIV_V1,43
0.31,21.6,IIV_V1,44
0.312,20.4,IIV_V1,45
0.31,21.2,IIV_V1,46
0.316,20.4,IIV_V1,47
0.309,20.7,IIV_V1,48
0.317,20.7,IIV_V1,49
0.311,20.9,IIV_V1,50
0.0274,13.5,PropErr,41
0.0272,13.6,PropErr,42
0.0274,13.5,PropErr,43
0.0275,13.5,PropErr,44
0.0278,13.6,PropErr,45
0.0277,13.5,PropErr,46
0.0272,13.5,PropErr,47
0.0279,13.3,PropErr,48
0.0275,13.6,PropErr,49
0.0276,13.3,PropErr,50
1.56,9.9,CLcrrt,51
1.56,10,CLcrrt,52
1.56,10.2,CLcrrt,53
1.56,10.1,CLcrrt,54
1.56,10,CLcrrt,55
1.55,10.1,CLcrrt,56
1.57,10,CLcrrt,57
1.56,10.1,CLcrrt,58
1.56,10,CLcrrt,59
1.56,10,CLcrrt,60
0.631,5.1,CLr,51
0.611,5.3,CLr,52
0.619,5.4,CLr,53
0.608,5.2,CLr,54
0.611,5.1,CLr,55
0.613,6.1,CLr,56
0.587,5.1,CLr,57
0.615,5.6,CLr,58
0.611,5.1,CLr,59
0.627,5,CLr,60
39,8.8,V1,51
39.5,8.3,V1,52
39.2,8.3,V1,53
39.5,7.3,V1,54
39.4,8,V1,55
39,8.1,V1,56
39.9,8.1,V1,57
39.2,8.9,V1,58
39.5,7.8,V1,59
39.3,8.1,V1,60
12.3,39,Q,51
12.2,35.7,Q,52
12.2,37.3,Q,53
12.1,26.6,Q,54
12,34.9,Q,55
12.2,32.5,Q,56
11.7,37.4,Q,57
12,40.9,Q,58
11.9,31.8,Q,59
12.2,36.3,Q,60
8.4,37.3,V2,51
8.41,34.4,V2,52
